"address","earnings","reasons"
"0x00173c4cb23e6d876fcb036ba954a2f9cfcafa19","12000","dao"
"0x001d7ccf4bd1f7997bbfc8db07b00ec154f3fb20","12000","dao"
"0x005c17dd5beaad3cb9226bb50a02f066eb125e0b","12000","dao"
"0x0065e36de18c6a7e99552d285d9a957e5900b47e","12000","dao"
"0x008b15860738a929dddb478af6cc1d7332329350","12000","dao"
"0x00951c1d1241f9be0ef5a55a1755fa49c5629ebd","12000","dao"
"0x00d2432e6af76a8150a7609d7ff11dbe44de8e14","12000","dao"
"0x00eff2cd38911526be1c3e80db227c463ab52091","12000","dao"
"0x0106e09f7bf7ee93ebe3f801cbe98ceba1d528c5","24000","dao"
"0x015122a625b45f68e6d795c0ab99fc7107e4c3b9","36000","dao"
"0x015514ab18515b7951616a1087d4c5d326816639","12000","dao"
"0x01eb13fff64d7949906264443eaced70efab53de","12000","dao"
"0x022111936500251ea358a98cbb158d77580efb42","12000","dao"
"0x022c2428f3ebac5841761116f185fe33909d34c0","12000","dao"
"0x02b2e164e69e856f31629f8d2477e6985eae087d","12000","dao"
"0x0338b5a5f2055b4a35696012d49d22fdd6de78af","12000","dao"
"0x03d15ec11110dda27df907e12e7ac996841d95e4","12000","dao"
"0x04e6720771508f835765e95cdc0ff71cf31403ba","12000","dao"
"0x052cd92257aa17b3f965c4b0d3f51f0d223c6950","12000","dao"
"0x059213d0adbd35def06ac6736c8bb310360c8a5d","12000","dao"
"0x064f418394f09a47f744cfccfbc7b59915dcf2fb","24000","dao"
"0x065f81841c7cd14e0245726c558d7e2c42a6c1a2","12000","dao"
"0x066c2ba31dcec0a64334fe9622b0126f554ec604","12000","dao"
"0x069029a66a08a78ebdc903b9ff9e5f1aff2deb3b","12000","dao"
"0x06c4865ab16c9c760622f19a313a2e637e2e66a2","36000","dao"
"0x071b975245bdfe7f9e2d685ffdafea14e148c6ad","12000","dao"
"0x0730932cd206b339bccaa23d78a10308218033b8","24000","staker,dao"
"0x0794a504f78f5d80b0b46dace93c593fc8219d53","12000","dao"
"0x08daab3171a969cec71b0854b3ec982c0415272e","12000","dao"
